class,name,Scientific name,color,spring,summer,fall,winter,poison,area,comment,link,recipe link,img
1,개나리광대버섯,Amanita subjungquilea?,yellow,x,o,o,x,o,지리산,!주의! 이 버섯은 독버섯입니다,https://terms.naver.com/entry.nhn?docId=814362&cid=46689&categoryId=46689,,
2,곰보버섯,Morchella esculenta,brown,o,x,x,x,?,지리산,"!주의! 식용이 가능하지만, 독성분이 있습니다.",https://terms.naver.com/entry.nhn?docId=887423&cid=46689&categoryId=46689,,
3,노란꼭지버섯,Rhodophyllus murrayi?,yellow,x,o,o,x,o,전국,!주의! 이 버섯은 독버섯입니다.,https://terms.naver.com/entry.nhn?docId=2212461&cid=46689&categoryId=46689,,
4,노란다발버섯,Hypholoma,yellow,o,o,o,x,o,전국,!주의! 이 버섯은 독버섯입니다.,https://terms.naver.com/entry.nhn?docId=770027&cid=46689&categoryId=46689,,
5,노란싸리버섯,Ramaria flava?,yellow,x,x,o,x,o,전국,!주의! 이 버섯은 독버섯입니다,https://terms.naver.com/entry.nhn?docId=770155&cid=46689&categoryId=46689,,
6,노루궁뎅이버섯,Hericium erinaceus,white,x,o,o,x,x,"덕유산, 지리산, 호명산.",이 버섯은 식용버섯입니다.,https://terms.naver.com/entry.nhn?docId=814384&cid=46689&categoryId=46689,https://www.10000recipe.com/recipe/6862364,
7,달걀버섯,Amanita hemibapha,red,x,o,o,x,x,전국,식용버섯입니다. 색과 모양이 화려합니다.,https://terms.naver.com/entry.nhn?docId=887365&cid=46689&categoryId=46689,https://www.10000recipe.com/recipe/6838047,
8,붉은싸리버섯,Ramaria formosa,red,x,x,o,x,o,"광릉수목원, 소금강, 속리산, 덕유산.",!주의! 이 버섯은 독버섯입니다,https://terms.naver.com/entry.nhn?docId=814383&cid=46689&categoryId=46689,,
9,뽕나무버섯,Armillaria mellea,brown,o,o,o,x,x,전국,이 버섯은 식용버섯입니다.,https://terms.naver.com/entry.nhn?docId=887359&cid=46689&categoryId=46689,,
10,싸리버섯,Ramaria botrytis,white,x,x,o,x,x,"광릉수목원, 문경새재, 덕유산",이 버섯은 식용버섯입니다.,https://terms.naver.com/entry.nhn?docId=887391&cid=46689&categoryId=46689,https://www.10000recipe.com/recipe/2337522,
11,표고버섯,Lentinus edodes,brown,o,o,o,x,x,전국,이 버섯은 식용버섯입니다.,https://terms.naver.com/entry.nhn?docId=887352&cid=46689&categoryId=46689,https://www.10000recipe.com/recipe/6867089,
12,혈색무당버섯,Russula sanguinea,red,x,x,o,x,?,전국,!식독불명! 약재로 사용하기도 합니다.,https://terms.naver.com/entry.nhn?docId=770069&cid=46689&categoryId=46689,,
13,개암버섯,Hypholoma sublateritium,brown,x,x,o,x,x,전국,이 버섯은 식용버섯입니다.,https://terms.naver.com/entry.nhn?docId=887378&cid=46689&categoryId=46689,,
14,노란난버섯,Pluteus leoninus,yellow,o,o,o,x,x,전국,이 버섯은 식용버섯입니다.,https://terms.naver.com/entry.nhn?docId=814363&cid=46689&categoryId=46689,,
15,갈황색미치광이버섯,Gymnopilus junonius,yellow,x,o,o,x,o,광릉,!주의! 이 버섯은 독버섯입니다,https://terms.naver.com/entry.nhn?docId=887379&cid=46689&categoryId=46689,,
